REGION	STATES	INSTITUTE
East and North East	West Bengal	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Bihar	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Jharkhand	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Assam	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Tripura	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Meghalaya	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Manipur	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Arunachal Pradesh	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Sikkim	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Nagaland	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Mizoram	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Odisha	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
East and North East	Chhattisgarh	DBT- National Institute of Biomedical Genomics (NIBMG) / DBT-Institute of Life Sciences, (ILS) Bhubhaneshwar
West	Goa	ICMR-National Institute of Virology (NIV) / DBT-National Centre for Cell Science, Pune
West	Maharashtra	ICMR-National Institute of Virology (NIV) / DBT-National Centre for Cell Science, Pune
West	Gujarat	ICMR-National Institute of Virology (NIV) / DBT-National Centre for Cell Science, Pune
West	western part of MP	ICMR-National Institute of Virology (NIV) / DBT-National Centre for Cell Science, Pune
South	Andhra Pradesh	CSIR-Centre for Cellular and Molecular Biology (CCMB) / DBT-Centre for DNA Fingerprinting and  Diagnostics (CDFD), Hyderabad
South	Telangana	CSIR-Centre for Cellular and Molecular Biology (CCMB) / DBT-Centre for DNA Fingerprinting and  Diagnostics (CDFD), Hyderabad
South	Goa	CSIR-Centre for Cellular and Molecular Biology (CCMB) / DBT-Centre for DNA Fingerprinting and  Diagnostics (CDFD), Hyderabad
South	Northern part of Karnataka	CSIR-Centre for Cellular and Molecular Biology (CCMB) / DBT-Centre for DNA Fingerprinting and  Diagnostics (CDFD), Hyderabad
Central	Rajasthan	CSIR-Institute of Genomics and Integrative Biology (IGIB), Delhi
Central	Punjab	CSIR-Institute of Genomics and Integrative Biology (IGIB), Delhi
Central	Haryana	CSIR-Institute of Genomics and Integrative Biology (IGIB), Delhi
Central	Western part of Uttar Pradesh	CSIR-Institute of Genomics and Integrative Biology (IGIB), Delhi
South	Kerala	CSIR-Institute of Genomics and Integrative Biology (IGIB), Delhi
North & Central	Eastern part of MP	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Uttarakhand	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Delhi	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Haryana	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Himachal Pradesh	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Ladakh	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Jammu and Kashmir	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit
North & Central	Punjab	NCDC, Delhi - Division of Bio-technology, Epidemiology and Central Surveillance Unit